Artist,Title,Year,URL
Helloween,I Want Out,1988,https://www.youtube.com/watch?v=-E16KSBiUWk
Helloween,Ride The Sky,1985,https://www.youtube.com/watch?v=ug_JdOQDxwY
Helloween,Best Time,2022,https://www.youtube.com/watch?v=UoHtkR7SEB0
Helloween,Future World,1987,https://www.youtube.com/watch?v=OFqdHvLyv50
Helloween,Pumpkins United,2017,https://www.youtube.com/watch?v=yh8zPuB03_c
Kissin' Dynamite,My Monster,2024,https://www.youtube.com/watch?v=hpmpzL3yAeA
Kissin' Dynamite,Not the End of The Road,2022,https://www.youtube.com/watch?v=qGLFjML7RKo
Kissin' Dynamite,I Will Be King,2012,https://www.youtube.com/watch?v=mP1QzucFRh8
Kissin' Dynamite,Steel of Swabia,2008,https://www.youtube.com/watch?v=h4g8rfx0cek
Gamma Ray,Heaven Can Wait,1990,https://www.youtube.com/watch?v=OOWakf4hc9k
Stratovarius,Deep Unknown,2009,https://youtu.be/AQgKM9KCFDE
Gamma Ray,Lust for Life,1990,https://www.youtube.com/watch?v=fS9k7xkJhGw
Gamma Ray,Master of Confusion,2014,https://www.youtube.com/watch?v=91SsxwU9PI4
Gamma Ray,Somewhere Out In Space,1997,https://www.youtube.com/watch?v=RFzlLNkHhJw
Gamma Ray,Rebellion in Dreamland,1995,https://www.youtube.com/watch?v=KgzbHg-0T6I
Edguy,King of Fools,2004,https://www.youtube.com/watch?v=ofE7GYuhle0
Edguy,Superheroes,2006,https://www.youtube.com/watch?v=a-hG4l2gs-A
Edguy,Vain Glory Opera,1998,https://www.youtube.com/watch?v=FCGS84gb49U
Edguy,Tears of a Mandrake,2001,https://www.youtube.com/watch?v=DGoqXJigrX8
Freedom Call,Metal is for Everyone,2016,https://www.youtube.com/watch?v=Vy4CQOyQ-0k
Freedom Call,111,2019,https://www.youtube.com/watch?v=CiBBpL4jioc
Freedom Call,Supernova,2024,https://www.youtube.com/watch?v=5vguTriidm8
Freedom Call,Thunder God,2010,https://www.youtube.com/watch?v=GGOcRqR2UHc
KISS,Psycho Circus,1998,https://www.youtube.com/watch?v=BWIW6Ti0PbE
KISS,I Love It Load,1982,https://youtu.be/LMcDg2HwOnM?t=35
KISS,Rock And Roll All Nite,1975,https://www.youtube.com/watch?v=o8mzIyIOdm0
KISS,I Was Made For Lovin' You,1979,https://www.youtube.com/watch?v=ZhIsAZO5gl0
Twisted Sister,We're Not Gonna Take It,1984,https://youtu.be/V9AbeALNVkk?t=171
Twisted Sister,Leader of the Pack,1985,https://youtu.be/h1_x-f4vJz0?t=5
Quiet Riot,Cum On Feel The Noize,1983,https://www.youtube.com/watch?v=ZxgMGk9JPVA&rco=1
Quiet Riot,Bang Your Head (Metal Health),1983,https://www.youtube.com/watch?v=O_1ruZWJigo
Warrant,Cherry Pie,1990,https://www.youtube.com/watch?v=OjyZKfdwlng
Warrant,Heaven,1989,https://www.youtube.com/watch?v=rrSdXtFJG20
The Doors,People Are Strange,1967,https://www.youtube.com/watch?v=AgHaGrZkkv4
The Doors,Riders On The Storm,1971,https://www.youtube.com/watch?v=W1hn1pF-ilQ
The Doors,Break On Through (To The Other Side),1967,https://www.youtube.com/watch?v=gdnzBNMfZfo
Black Sabbath,Children of the Grave,1971,https://www.youtube.com/watch?v=chxt6iZHRTs
Black Sabbath,Heaven and Hell,1980,https://www.youtube.com/watch?v=RVUK2rtAkJE
Black Sabbath,Paranoid,1970,https://youtu.be/0qanF-91aJo?t=5
Dio,Rainbow In The Dark,1986,https://www.youtube.com/watch?v=zcsE9ObDPxA
Dio,The Last In Line,1978,https://www.youtube.com/watch?v=360xvnsduDg
Rainbow,Man On The Silver Mountain,1975,https://www.youtube.com/watch?v=ORnvO1VyYMk
Rainbow,Since You've Been Gone,1979,https://youtu.be/1P17ct4e5OE?t=10
Rainbow,Stargazer,1976,https://www.youtube.com/watch?v=YmJIccPWnEk
Saxon,Princess of the Night,1981,https://www.youtube.com/watch?v=fnzQISf8us4
Saxon,The Eagle Has Landed,1996,https://www.youtube.com/watch?v=l6rmFWz6Vc0
Saxon,Ride Like The Wind,1988,https://www.youtube.com/watch?v=0qD46e8XE1U
Accept,Princess of the Night,1982,https://www.youtube.com/watch?v=y65U8omaAq4
Accept,Balls To The Wall,1983,https://www.youtube.com/watch?v=IrwXSfcJmnU
Accept,Life's a Bitch,2019,https://www.youtube.com/watch?v=5jaJ-GZi-eg
Accept,Teutonic Terror,2010,https://www.youtube.com/watch?v=req-oDf2ZRc
Accept,I'm A Rebel,1980,https://www.youtube.com/watch?v=BCk1fCi2rkU
Iron Maiden,The Number Of The Beast,1982,https://www.youtube.com/watch?v=WxnN05vOuSM
Iron Maiden,Fear of the Dark,1992,https://www.youtube.com/watch?v=bePCRKGUwAY
Iron Maiden,The Writing On The Wall,2021,https://www.youtube.com/watch?v=FhBnW7bZHEE
Iron Maiden,The Trooper,1983,https://www.youtube.com/watch?v=X4bgXH3sJ2Q
Iron Maiden,Wasted Years,1986,https://www.youtube.com/watch?v=Ij99dud8-0A
Iron Maiden,The Wicker Man,2000,https://www.youtube.com/watch?v=-sQ3Af3DpeM
Iron Maiden,Be Quick Or Be Dead,1992,https://www.youtube.com/watch?v=CTt1vk9nM9c
Motorhead,Overkill,1979,https://www.youtube.com/watch?v=MlzTET_8SQg
Motorhead,Hellraiser,1991,https://www.youtube.com/watch?v=1M4FG1UXH5w
Motorhead,Killed By Death,1984,https://www.youtube.com/watch?v=LZ5fIKmn1ok&t=24s
Motorhead,Life's a Bitch,2004,https://youtu.be/vD0VJV6srao?t=5
Judas Priest,Crown of Horns,2024,https://www.youtube.com/watch?v=dMlvMsGRouM
Judas Priest,Breaking The Law,1980,https://www.youtube.com/watch?v=L397TWLwrUU
Judas Priest,Painkiller,1990,https://www.youtube.com/watch?v=nM__lPTWThU
Judas Priest,Turbo Lover,1986,https://www.youtube.com/watch?v=JhY9GOhFwN4
Judas Priest,No Surrender,2018,https://www.youtube.com/watch?v=vMU804-bjQA
Megadeth,Holy Wars The Punishment Due,1990,https://www.youtube.com/watch?v=9d4ui9q7eDM
Metallica,Enter Sandman,1991,https://www.youtube.com/watch?v=CD-E-LDc384
Metallica,One,1988,https://www.youtube.com/watch?v=WM8bTdBs-cw
Metallica,Whiskey in the Jar,1998,https://www.youtube.com/watch?v=boanuwUMNNQ
Metallica,Sad But True,1992,https://www.youtube.com/watch?v=A8MO7fkZc5o
Slayer,Repentless,2015,https://youtu.be/yjb0j9l1sz4?t=33
Slayer,Angel of Death,1986,https://www.youtube.com/watch?v=TnRZhLRv6eM
Anthrax,Bring Tha Noize,1991,https://www.youtube.com/watch?v=FQ3WZaKjHNQ
Anthrax,Indians,1987,https://www.youtube.com/watch?v=RzpRU347BDU
Disturbed,The Sound of Silence,2015,https://www.youtube.com/watch?v=u9Dg-g7t2l4
Disturbed,Down With The Sickness,2009,https://www.youtube.com/watch?v=HkhfL0pnMPQ
Deep Purple,Child in Time,1970,https://www.youtube.com/watch?v=OorZcOzNcgE
Deep Purple,Lazy Sod,2024,https://www.youtube.com/watch?v=bbkNm739ULA
Deep Purple,Knocking At Your Back Door,1984,https://www.youtube.com/watch?v=G7GERh0sQzY
MANOWAR,Warriors Of The World United,2002,https://www.youtube.com/watch?v=hhHcNGZ5OBI
MANOWAR,Fighting The World,1987,https://www.youtube.com/watch?v=fnMFZELu7o8
MANOWAR,Battle Hymn,1982,https://www.youtube.com/watch?v=EtNqj9g8HJE
MANOWAR,Carry On,1987,https://www.youtube.com/watch?v=SGs7MzWkukk
MANOWAR,Laut Und Hart Stark Und Schnell,2023,https://www.youtube.com/watch?v=yFDDqTQeWFA
J.B.O.,Alles nur geklaut,2018,https://www.youtube.com/watch?v=P8htcykWmrs
J.B.O.,Ein guter Tag zum Sterben,1995,https://www.youtube.com/watch?v=u5sTtN58_Ek
J.B.O.,Bolle,1997,https://www.youtube.com/watch?v=SEddvz3DxnA
J.B.O.,Panzer Dance,2016,https://www.youtube.com/watch?v=ne8mbAkt9CY
J.B.O.,Verteidiger des Bloedsinns,1998,https://www.youtube.com/watch?v=Uby8NfI9Yuc
J.B.O.,Kuschelmetal,1995,https://www.youtube.com/watch?v=-8QZ3TKMFjQ
J.B.O.,Arschloch und Spass dabei,2007,https://www.youtube.com/watch?v=0_47Abwygks
J.B.O.,Gaensebluemchen,2004,https://www.youtube.com/watch?v=O4Yk5hYWpYA
POWERWOLF,Fire & Forgive,2018,https://www.youtube.com/watch?v=Xmr6iscmd1g
POWERWOLF,We Drink Your Blood,2020,https://www.youtube.com/watch?v=GpxFUo7oxWM
POWERWOLF,Sainted By The Storm,2023,https://www.youtube.com/watch?v=1SIhedUuqjE
POWERWOLF,Demons Are A Girl's Best Friend,2018,https://www.youtube.com/watch?v=jhK2ev_O-pc
POWERWOLF,Army Of The Night,2015,https://youtu.be/1zN7J64IeBo?t=6
Sabaton,Primo Victoria,2005,https://www.youtube.com/watch?v=qVHyl0P_P-M
Sabaton,Ghost Division,2008,https://www.youtube.com/watch?v=ICfzQVh3lvs
Sabaton,Bismarck,2019,https://youtu.be/oVWEb-At8yc?t=50
Sabaton,The Last Stand,2016,https://www.youtube.com/watch?v=i9BupglHdtM
Sabaton,The Attack of the Dead Men,2019,https://www.youtube.com/watch?v=-AFdwoyNT24
HAMMERFALL,Hearts on Fire,2002,https://www.youtube.com/watch?v=htKY2oD85rs
