Artist,Title,Year,URL
SongSeeker,Die Anleitung,2024,https://www.youtube.com/shorts/7HyRlqEmfSE
König der Löwen, Der ewige Kreis,1994,https://www.youtube.com/watch?v=eOgMTcLgm38&list=PLc6OoqL0xc0ayk2bl5VY_3p-_x3M2E4w-&index=1&pp=iAQB
Aladdin, Ein Traum wird wahr,1992,https://youtu.be/hS4tDTXNTzw?si=JO9HdKBqn4MAHc8V
Die Schöne und das Biest,Die Schöne und das Biest,1991,https://youtu.be/xsT5MLndJxk?si=APBai84ey1paw6SI
König der Löwen,Kann es wirklich Liebe sein,1994,https://www.youtube.com/watch?v=8XbS4Lr9XGc&list=PLc6OoqL0xc0ayk2bl5VY_3p-_x3M2E4w-&t=7s
Aristocats,Katzen brauchen viel Musik,1970,https://youtu.be/4xfIRzg3BI0?si=ayg_ovPNJLjHSMR5
Arielle die Meerjungfrau,Unter dem Meer,1989,https://www.youtube.com/watch?v=IkLpSgnEqw4&list=PLc6OoqL0xc0ayk2bl5VY_3p-_x3M2E4w-&t=28s
König der Löwen,Hakuna Matata,1994,https://youtu.be/hUOtc5jQ7z0?si=YdK9NdoIF74tS-7U
Mulan,Wer bin ich,1998,https://youtu.be/hUOtc5jQ7z0?si=YdK9NdoIF74tS-7U
Das Dschungelbuch,Probier's mal mit Gemütlichkeit,1967,https://youtu.be/v_EWWyJfgPc?si=ENONr4Vg4K19iUx9
Die Eiskönigin,Lass jetzt los,2013,https://youtu.be/BjwDV1Is34U?si=plKE4Rran6NpwspU
Susi und Strolchi,Schön ist die Nacht,1955,https://youtu.be/sLrWNuGl6ks?si=FzFG0Abfl3EvknnQ
Cap und Capper,Allerbeste Freunde,1981,https://youtu.be/qDNNs77-C6E?list=PLc6OoqL0xc0ayk2bl5VY_3p-_x3M2E4w-&t=35
Die Hexe und der Zauberer,Higitus Figitus,1963,https://youtu.be/pbtxGDnI34s?si=VuIrRth--XECfPip
Aladdin, 40 Räuber - die sind wir,1992,https://youtu.be/lAGWGo3Lgws?si=KTYWmRo1Nsgr63F-
Die Schöne und das Biest,Sei hier Gast,1991,https://youtu.be/0sYtWvm_2Z0?si=ufd4fb07_QepczaX
Robin Hood,Oo-de-lally,1973,https://youtu.be/rOwpwpkDRY8?si=GM5i7R3YTEsIoEtz
Das Dschungelbuch,Elefantenparade,1967,https://youtu.be/BeJ4YMcKcUU?si=2Mfyd_PeAVR-WF
Mary Poppins,Drachensteigen,1964,https://youtu.be/fy6BE0F6dkE?si=Z2YEAJepchL4Myub
Hercules,In Sekunden auf 100,1997,https://youtu.be/TdYT51x4jps?si=KUAH3vazXjUdVt4X
ToyStory,Du hast nen Freund in mir,1995,https://youtu.be/igJg7xCAKPM?si=1Th8arSHyelY_4LT
Mary Poppins,Ich lach so gern,1967,https://youtu.be/igJg7xCAKPM?si=1Th8arSHyelY_4LT
